probe,f,T,b,mu_real,mu_imag
R29.5x19x14.9,78213.0,30.133,0.1812658933972693,4843.432238403791,1053.1066407064543
R29.5x19x14.9,78113.0,30.141,0.1851119414681015,4850.417059949633,1067.576350077356
R29.5x19x14.9,78013.0,30.131,0.1884187112259219,4851.458731092257,1082.0323125314883
R29.5x19x14.9,77913.0,30.143,0.1917189035349357,4857.119989179485,1094.073205870502
R29.5x19x14.9,77813.0,30.143,0.1951130383460523,4864.067762713735,1106.270863548108
R29.5x19x14.9,77713.0,30.148,0.1983786476045586,4854.618727653411,1112.1629617311016
R29.5x19x14.9,77513.0,30.152,0.2020289881312246,4874.826708350181,1129.2039813244796
R29.5x19x14.9,77513.0,30.16,0.2042800706061849,4871.108353865357,1140.318520286394
R29.5x19x14.9,77313.0,30.137,0.2077506381115862,4870.168919197853,1150.8908591229726
R29.5x19x14.9,77313.0,30.143,0.2102143725054975,4873.527447198006,1160.8651074320344
R29.5x19x14.9,77213.0,30.152,0.2135898038255625,4869.040063729242,1167.9400808907087
R29.5x19x14.9,77213.0,30.147,0.2159881905793602,4871.7446833375,1172.5373025338529
R29.5x19x14.9,77213.0,30.153,0.2176020791439619,4848.652883320756,1182.8435779317554
R29.5x19x14.9,77113.0,30.149,0.2203377013849992,4851.296998897052,1190.2686862817152
R29.5x19x14.9,77113.0,30.155,0.2222263342158727,4844.145939873927,1195.8820892759998
R29.5x19x14.9,77013.0,30.149,0.224836776975772,4840.3846433749295,1194.3312431854547
R29.5x19x14.9,77013.0,30.164,0.2260795276484716,4828.1569505143525,1204.1066046673477
R29.5x19x14.9,77013.0,30.151,0.2278584920132442,4822.97036336774,1209.5598490154523
R29.5x19x14.9,77013.0,30.172,0.2297475972920399,4826.130427910452,1215.5702376168588
R29.5x19x14.9,77013.0,30.153,0.2311871951926067,4816.677205560209,1218.490873966187
R29.5x19x14.9,76813.0,30.172,0.2346376745990609,4831.10057466618,1217.0254581761787
R29.5x19x14.9,76813.0,30.159,0.2357588587683355,4810.469633139976,1222.7169955656193
R29.5x19x14.9,76813.0,30.174,0.2371423792927335,4798.411603792647,1224.9261760440013
R29.5x19x14.9,76813.0,30.159,0.2383028882463573,4798.429526698807,1231.4173612988084
R29.5x19x14.9,76713.0,30.172,0.2403168785096257,4797.0450956936265,1231.0145792150097
R29.5x19x14.9,126127.0,30.126,0.0381348630180073,3946.79567576812,405.313115816218
