probe,f,T,b,mu_real,mu_imag
MH8,132527.6,89.621,0.1526501923799514,3571.8626947523294,695.9720585885776
MH8,132527.6,89.636,0.1607360243797302,3594.470666480612,737.8997868388348
MH8,132127.6,89.62,0.1704995334148407,3627.1091933472826,786.1568998726352
MH8,131727.6,89.627,0.1799935549497604,3613.099103702984,830.5440806852863
MH8,131727.6,89.636,0.1890407651662826,3615.0521791612177,864.9304783834692
MH8,131727.6,89.674,0.1977501213550567,3591.168893509263,887.9525670049849
MH8,131727.6,89.676,0.2067810148000717,3550.326409899362,908.2754986808231
MH8,131727.6,89.653,0.2176726162433624,3526.293955296961,925.9953115951824
MH8,131727.6,89.658,0.2294366955757141,3490.1833060898507,939.3514071278596
MH8,131727.6,89.662,0.2419625967741012,3418.950486140837,929.8249877881356
MH8,131727.6,89.653,0.2585521042346954,3300.420228404161,897.6150356923735
MH8,132527.6,89.686,0.2852862179279327,3023.9263582966755,776.3603066775379
MH8,120044.0,89.651,0.0096914926543831,2957.8103385334857,59.985768847912766
MH8,117444.0,89.689,0.0208490025252103,3068.622956471524,100.18951208578476
MH8,115644.0,89.706,0.0332549884915351,3180.154650752349,136.48982188525153
MH8,114444.0,89.689,0.0450259000062942,3259.066585456989,171.45706887264382
MH8,113444.0,89.675,0.0576571822166442,3363.8225922251618,208.23927356035543
MH8,112844.0,89.68,0.0687750428915023,3412.7886194217845,248.4424658969912
MH8,112244.0,89.673,0.0792572870850563,3448.2178603328725,290.3993734575371
MH8,111644.0,89.68,0.0895866155624389,3500.73704136201,338.97442042581326
MH8,111244.0,89.667,0.0990763679146766,3535.649635984269,383.068707403177
MH8,110844.0,89.667,0.1081544756889343,3571.0697881611304,430.1840525875322
MH8,110444.0,89.65,0.1169533133506774,3588.0781658632027,470.0171338751021
MH8,110244.0,89.646,0.1254749894142151,3617.788056990021,512.2362217986683
MH8,110044.0,89.62,0.1336251348257064,3630.930547692147,552.5615798817762
MH8,109644.0,89.641,0.1408659219741821,3608.279621697716,598.0100828735963
