probe,f,T,b,mu_real,mu_imag,h_offset
AT2,874230.0,57.869,0.0371578746109647,1476.7799803064786,133.0217598784811,0
AT2,867930.0,57.814,0.0480589044346718,1513.076455745014,166.51118914739848,0
AT2,863130.0,57.796,0.0571817173332378,1526.5766545734689,199.2097459441916,0
AT2,859830.0,57.794,0.0655018197698011,1543.355119116815,223.863130034854,0
AT2,857430.0,57.774,0.0733516167352508,1566.170544752861,249.2467225568903,0
AT2,855930.0,57.764,0.080337847368629,1577.9381874003427,272.005762924783,0
AT2,854130.0,57.766,0.0871688528612884,1594.0103743918569,295.173147796275,0
AT2,852930.0,57.764,0.0933695092382657,1610.8709496430529,317.44912516885137,0
AT2,995100.0,56.912,0.0103798652216666,1406.5606222107651,64.61016892298198,0
AT2,981600.0,56.852,0.0242276578810456,1452.8806148161327,109.28048673710508,0
AT2,973500.0,56.858,0.0347163035305555,1477.7252189254873,142.96068480060043,0
AT2,966600.0,56.866,0.0447138819820239,1516.3752707438014,177.46393233082642,0
AT2,962100.0,56.923,0.0528486968022682,1523.895432925628,209.7980349499773,0
AT2,959400.0,56.957,0.0604145670343973,1539.1328711052056,233.7568946236172,0
AT2,957000.0,57.007,0.0674558952321663,1559.9113594974142,259.09622417047376,0
AT2,954900.0,57.017,0.0741905720330754,1575.5536321334623,282.8310154286547,0
AT2,953700.0,57.022,0.080301122445401,1583.6605498326162,303.23390951149594,0
AT2,952800.0,57.059,0.085873847274078,1589.5492874110707,324.7487108243561,0
AT2,1082920.0,57.799,0.0102821769629796,1404.6842695275395,79.65950955800658,0
AT2,1070920.0,57.795,0.0227317833713226,1453.0438012115455,121.43004760949844,0
AT2,1063120.0,57.799,0.0323593376077806,1480.9000540934546,158.51271423289649,0
AT2,1057120.0,57.825,0.0414230230348569,1516.9077403650322,191.48646043704045,0
AT2,1052920.0,57.849,0.0488432948542893,1521.589507822619,222.7700345071202,0
AT2,1049620.0,57.879,0.0559652515706032,1536.6999065272455,246.76741598085903,0
AT2,1047220.0,57.874,0.0624114417767076,1547.357666366352,270.62146235960387,0
AT2,1045720.0,57.879,0.0687055747042661,1564.0793925607716,291.5020059610785,0
AT2,1044820.0,57.887,0.0742267557980934,1572.950377550304,314.6707475510807,0
AT2,1043920.0,57.894,0.0796115718969548,1581.6979712189873,333.6825318048288,0
AT2,155330.0,87.842,0.0103674733225911,1275.161469717767,13.813438974939064,0
AT2,150530.0,87.919,0.0345704888509532,1364.5587786487313,47.33693506235636,0
AT2,146630.0,87.921,0.057533135376305,1470.294001338354,82.47855872971068,0
AT2,143030.0,87.96,0.0787265168365694,1551.0146195038196,120.78760694807622,0
AT2,140330.0,87.97,0.096395726992177,1618.9231376814782,160.20242560239268,0
