f,p_v,T,b
27599.0776708502,8431.03560658943,100,0.1
30593.0659691746,9429.38995765164,100,0.1
33171.626990145,10545.9636422327,100,0.1
36770.1335862467,11960.9115008347,100,0.1
40163.7139950517,13377.2532880993,100,0.1
43229.7523503005,14753.4737799894,100,0.1
47919.3790914492,16732.9416446745,100,0.1
52728.4164163765,19245.342211207,100,0.1
57594.8148622297,21827.4823241086,100,0.1
62910.341794074,24756.0671761831,100,0.1
68716.4480711383,28077.579123946,100,0.1
75058.4101254751,32293.3426875699,100,0.1
83200.8561987313,37665.3213264633,100,0.1
89552.2861567844,42125.4302840202,100,0.1
95682.0939240714,46459.1959037628,100,0.1
102986.323057808,52692.6082297021,100,0.1
112491.112249941,60604.2439468156,100,0.1
120191.07082401,67780.6471148736,100,0.1
129366.278902382,75806.838335328,100,0.1
137208.239404013,84783.4445820379,100,0.1
146600.072574659,94823.0084916439,100,0.1
154347.074604136,104578.177552019,100,0.1
164912.052198454,118609.3911427,100,0.1
174908.736114508,130811.647548087,100,0.1
185511.401752244,146301.604368715,100,0.1
195314.652055097,163625.792060999,100,0.1
208683.839181556,185579.401227791,100,0.1
222968.140266654,207554.637880626,100,0.1
238230.194388546,238718.338852697,100,0.1
256416.334083288,274561.175247582,100,0.1
273967.899808491,311398.941823607,100,0.1
294882.202928548,358154.550877217,100,0.1
322097.40094833,429585.701536421,100,0.1
341622.389356018,487223.048780899,100,0.1
362330.948854928,552593.576588649,100,0.1
387132.315296103,626734.842801644,100,0.1
407590.114392673,710823.613995788,100,0.1
432297.523503004,806194.543062841,100,0.1
455142.053748444,901659.426313997,100,0.1
482731.979333454,1037040.86142536,100,0.1
24354.6262748091,118609.3911427,25,0.2
26798.7795382872,130811.647548087,25,0.2
29925.2879947352,148362.595650842,25,0.2
33171.626990145,165930.83398056,25,0.2
36770.1335862467,185579.401227791,25,0.2
41363.132246958,210478.517636305,25,0.2
45850.2653101124,238718.338852697,25,0.2
50451.6529201928,266985.980384855,25,0.2
55924.7219942988,298600.912123668,25,0.2
62910.341794074,343434.935735135,25,0.2
70249.8445253906,395000.65235751,25,0.2
78445.6182418393,454308.805331293,25,0.2
86955.5136039931,515263.241839427,25,0.2
96388.5748573449,584395.911492998,25,0.2
106844.948387532,672141.18965702,25,0.2
119310.129280756,783951.482821491,25,0.2
131283.716498112,901659.426313997,25,0.2
145525.56601365,1037040.86142536,25,0.2
163703.327816777,1226591.2957821,25,0.2
178811.796346872,1391162.57501509,25,0.2
198209.561455173,1622581.65443685,25,0.2
218101.246140325,1866207.38112728,25,0.2
241761.188207294,2176649.88576834,25,0.2
266023.576407042,2503467.28119551,25,0.2
284232.752910771,2761018.13255171,25,0.2
301462.451720288,3045065.21237174,25,0.2
24354.6262748091,58113.5003706442,100,0.2
26798.7795382872,64994.9641264303,100,0.2
28633.1421661715,70685.7244258833,100,0.2
31046.5094426644,77957.7062254305,100,0.2
33171.626990145,84783.4445820379,100,0.2
35442.2077369252,92206.8237155317,100,0.2
38147.8133074034,101692.845812631,100,0.2
41059.9607941567,112154.767649041,100,0.2
45180.6085939188,127202.529399472,100,0.2
48629.6292417479,140288.8277456,100,0.2
53117.7433981776,156901.017293913,100,0.2
58020.0735170817,177952.36603396,100,0.2
63374.8483193859,199024.453402796,100,0.2
69223.8247220198,225727.487255861,100,0.2
75058.4101254751,252456.827466463,100,0.2
83200.8561987313,290362.456364273,100,0.2
91550.6309769483,333959.500766897,100,0.2
99267.0490934022,373505.048458406,100,0.2
107633.851679221,423618.076193193,100,0.2
115001.333274176,467198.911857772,100,0.2
123780.364485454,515263.241839427,100,0.2
134213.291454765,584395.911492998,100,0.2
145525.56601365,662804.08466661,100,0.2
156634.771878479,751732.252076179,100,0.2
168592.038041768,852591.877275122,100,0.2
181462.104168853,966983.799335316,100,0.2
196756.782677524,1112173.49143294,100,0.2
213340.585390695,1279162.97656319,100,0.2
227943.638350347,1430634.03930801,100,0.2
243546.262748091,1622581.65443685,100,0.2
262138.223216566,1866207.38112728,100,0.2
280081.449299734,2146412.77365034,100,0.2
301462.451720288,2503467.28119551,100,0.2
