probe,f,T,eps_real,eps_imag
W7A,325943.0,30,85297.76972035586,26325.458365245588
W7A,328773.0,30,85198.30496558726,26243.141768179597
W7A,331628.0,30,85104.32838949736,26151.75846435547
W7A,334507.0,30,85008.93171125039,26061.56420589191
W7A,337412.0,30,84908.67751856259,25976.20356419634
W7A,340341.0,30,84819.9430418659,25886.41679369942
W7A,343297.0,30,84721.00555418975,25794.973109381914
W7A,346278.0,30,84618.21111883779,25715.753782202155
W7A,349284.0,30,84529.39043584956,25623.828389674738
W7A,352317.0,30,84431.6580145809,25537.57522897278
W7A,355376.0,30,84335.62578605738,25454.71750860264
W7A,358462.0,30,84247.26181299765,25371.103373295864
W7A,361574.0,30,84148.6951493249,25286.00541319588
W7A,364714.0,30,84061.53463313039,25203.677780835427
W7A,367881.0,30,83968.31333386026,25115.36305876167
W7A,371075.0,30,83872.96485302651,25030.556975566567
W7A,374297.0,30,83783.76434833702,24954.575739207925
W7A,377547.0,30,83684.81016893042,24875.33926813226
W7A,380825.0,30,83595.3656301056,24791.91451582303
W7A,384132.0,30,83508.65989415454,24713.881181153753
W7A,387468.0,30,83418.70649307409,24633.432313458834
W7A,390832.0,30,83329.42535915574,24553.31646164489
W7A,394225.0,30,83243.68022954227,24474.216334062447
W7A,397649.0,30,83151.05370915547,24394.488131393377
W7A,401101.0,30,83074.56716495506,24280.427495891636
W7A,404584.0,30,82972.10641689369,24239.950041744694
W7A,408097.0,30,82887.51647174805,24158.095266232027
W7A,411641.0,30,82798.96561553254,24083.846904913404
W7A,415215.0,30,82715.81076436615,24011.440250700078
W7A,418820.0,30,82625.03164958642,23931.309687116558
W7A,422457.0,30,82538.23943473892,23863.70681219696
W7A,426125.0,30,82456.48273050852,23787.2131643376
W7A,429825.0,30,82366.41164395664,23721.05868022864
W7A,433557.0,30,82281.96349102512,23645.735881590816
W7A,437322.0,30,82200.26871034481,23573.18725037742
W7A,441119.0,30,82112.7283683808,23499.85403417855
W7A,444949.0,30,82033.54688125447,23427.322543222068
W7A,448813.0,30,81951.7880857247,23366.23190867603
W7A,452710.0,30,81870.21980091032,23289.98826759557
W7A,456641.0,30,81795.60391719783,23217.229870967858
W7A,460606.0,30,81700.37199235658,23153.06935882543
W7A,464605.0,30,81623.7893966058,23084.895340633688
W7A,468639.0,30,81543.43151640923,23008.842319299743
W7A,472708.0,30,81464.29379275162,22949.062231521173
W7A,476813.0,30,81385.63803648885,22878.770167098253
W7A,480953.0,30,81305.7592755608,22815.28436307833
W7A,485129.0,30,81229.53627858755,22748.785813035287
W7A,489341.0,30,81144.50523340577,22685.877993066882
W7A,493590.0,30,81068.54483249303,22621.933152967293
W7A,497876.0,30,80989.5662974584,22556.630097474288
W7A,502199.0,30,80909.25501443632,22492.11775823298
W7A,506560.0,30,80841.58765012913,22433.792033115893
W7A,510958.0,30,80761.97728929788,22366.92206028166
W7A,515395.0,30,80684.51637687863,22307.113660423685
W7A,519870.0,30,80613.0037580311,22241.61088035988
W7A,524384.0,30,80534.1203065246,22186.421900879126
W7A,528937.0,30,80464.09313348752,22123.4697172302
W7A,533530.0,30,80389.73136200054,22065.14940526759
W7A,538163.0,30,80312.49083657168,22011.996708809904
W7A,542836.0,30,80239.65091447457,21946.418294891526
W7A,547549.0,30,80170.39592277439,21895.746955802235
W7A,552303.0,30,80097.05861731712,21839.21737725414
W7A,557099.0,30,80025.32347180268,21776.598468695724
W7A,561936.0,30,79958.89860225309,21722.85338074451
W7A,566816.0,30,79885.21700940307,21667.35704716968
W7A,571737.0,30,79818.53653046134,21617.867140638173
W7A,576702.0,30,79744.15717203633,21558.886019171357
W7A,581709.0,30,79681.6788500606,21508.868178305132
W7A,586760.0,30,79611.08936323461,21453.593268871005
W7A,591855.0,30,79546.39178232718,21397.89158808288
W7A,596994.0,30,79476.62944147752,21349.080901695143
