f,T,eps_real,eps_imag
456641.0,30,100427.10497665027,46041.254669879294
460606.0,30,100319.7623043566,45833.8542805863
464605.0,30,100206.36798254286,45624.64752180498
468639.0,30,100093.9670824611,45419.59377766673
472708.0,30,99992.45532658514,45221.66939602487
476813.0,30,99883.38297418978,45015.365058471245
480953.0,30,99772.61338505111,44819.70764072175
485129.0,30,99656.56106297676,44624.04647652869
489341.0,30,99560.59630695736,44429.29588135177
493590.0,30,99448.704750947,44237.28244852834
497876.0,30,99332.84415711559,44051.24035382748
502199.0,30,99228.91030353257,43856.634772250974
506560.0,30,99123.56683704072,43669.113550686685
510958.0,30,99022.36518226608,43481.59067579266
515395.0,30,98909.68296607626,43297.30364027819
519870.0,30,98805.56216550455,43112.267713554254
524384.0,30,98695.2957680017,42942.81905296333
528937.0,30,98598.16111415101,42754.708024850355
533530.0,30,98487.9978786095,42580.38416193711
538163.0,30,98384.3554572302,42409.88334006701
542836.0,30,98286.84748966502,42229.191069369255
547549.0,30,98182.61863732101,42068.34579701285
552303.0,30,98084.85858686561,41898.86880053026
557099.0,30,97978.80909716016,41728.86187789774
561936.0,30,97882.63922277813,41560.61131923756
566816.0,30,97773.92450605029,41396.072492900836
571737.0,30,97685.52638869743,41230.43313529851
576702.0,30,97578.48270083827,41074.54128571977
581709.0,30,97469.36994695984,40916.71272499074
586760.0,30,97377.57035551123,40757.68585613779
591855.0,30,97272.28255171506,40609.11196255183
596994.0,30,97180.91541953113,40446.540840646994
602178.0,30,97080.15932994221,40300.87887046434
607406.0,30,96978.94974142927,40146.00396653133
612680.0,30,96879.79606984998,40002.201370346396
618000.0,30,96782.63338257652,39862.27183858901
623366.0,30,96688.22425620537,39711.51821257721
628779.0,30,96595.77657164921,39563.649043299454
634239.0,30,96497.17954393341,39431.64679170204
639746.0,30,96400.63979609037,39292.29431702129
645301.0,30,96298.95575641966,39155.62745339021
650904.0,30,96206.36912330841,39020.96197189191
656556.0,30,96116.58424264606,38883.780576808276
662257.0,30,96013.91689805276,38751.990616094285
668007.0,30,95922.08025592452,38624.03541198397
673807.0,30,95827.93701570094,38498.10663920165
679658.0,30,95728.82372090832,38381.08061106187
685559.0,30,95640.40751456955,38242.20384718899
691512.0,30,95547.8950810917,38124.770885097976
697516.0,30,95448.81141519836,37998.36190348869
703573.0,30,95356.30646226816,37877.11278098927
709682.0,30,95269.67012472551,37756.4806374247
715844.0,30,95175.47679196333,37641.906715899386
722060.0,30,95078.09384467048,37527.80395000565
728330.0,30,94995.46901897882,37403.81475166594
734654.0,30,94898.46882626673,37294.091088824716
741033.0,30,94813.14681689376,37191.99502766602
747467.0,30,94711.46729403386,37079.07596317371
753957.0,30,94626.427259798,36975.32814230617
760504.0,30,94538.50129193782,36871.377334630284
767107.0,30,94443.91058161753,36768.41287697363
773768.0,30,94361.5827152883,36664.69070133872
780487.0,30,94271.02572361294,36556.04630453493
787264.0,30,94176.7230889685,36466.16601592037
794099.0,30,94083.78963911986,36359.95524740908
800995.0,30,94011.4687647764,36268.27793808512
807950.0,30,93921.67317152888,36174.32748444405
814965.0,30,93836.58344970545,36080.25715188231
822041.0,30,93735.08838239603,35988.099083624365
829179.0,30,93663.17837074527,35904.98069037758
836379.0,30,93559.79364140471,35823.77713710998
843641.0,30,93484.4761225187,35736.58076274556
850966.0,30,93387.42439136781,35647.18342301619
858355.0,30,93311.03646698692,35562.992597668934
865808.0,30,93220.52710202812,35488.62768123474
873326.0,30,93148.1000089363,35403.92297455744
880909.0,30,93053.55579573494,35323.75807341461
888558.0,30,92967.91805469117,35252.64130636214
896273.0,30,92874.57112923371,35174.423175813354
904056.0,30,92791.11977069064,35114.85810153083
911906.0,30,92706.79137250774,35041.70230246824
919824.0,30,92632.4702124529,34964.838528864784
927811.0,30,92547.16906090738,34905.88542796186
935867.0,30,92452.7515217281,34841.70818458559
943993.0,30,92367.12522005993,34770.045788428106
952190.0,30,92292.04607350375,34710.15536333523
960457.0,30,92199.00947031546,34655.696624440454
968797.0,30,92116.23789306179,34591.74400081564
977209.0,30,92029.53913575562,34531.51526274422
985694.0,30,91951.5112922394,34485.39508330901
994253.0,30,91863.08435091002,34431.384477938904
100578.0,45,131953.5040092336,168623.27828173217
101451.0,45,131739.69823856113,167418.5094459163
102332.0,45,131514.2717292698,166234.06316691276
103221.0,45,131316.78191047112,165068.30504363592
104117.0,45,131096.26236113845,163899.69534218387
105021.0,45,130882.04038297052,162747.19814635333
