f,T,eps_real,eps_imag
501687.0,30,100808.12428650635,59753.677314930035
505902.0,30,100650.73880716412,59493.14980851443
510152.0,30,100512.91764750541,59245.62887071896
514438.0,30,100365.07892350706,59000.92823177142
518760.0,30,100220.40424586093,58749.595984990294
523119.0,30,100080.74361443715,58507.77393293636
527514.0,30,99937.83219356787,58266.12748179106
531945.0,30,99788.88571592113,58031.6625875444
536414.0,30,99653.6922162542,57785.119003100895
540921.0,30,99507.00350613285,57550.01066638801
545465.0,30,99358.29440700148,57319.45951427143
550048.0,30,99216.15324644286,57091.45802514484
554669.0,30,99077.35260691441,56835.63627854789
559329.0,30,98930.50893698134,56626.62697153306
564028.0,30,98782.5800542354,56398.984827098204
568767.0,30,98653.46438515006,56174.22597191196
573545.0,30,98512.36330147185,55954.396901371685
578364.0,30,98363.58578618806,55731.24085205474
583223.0,30,98237.5598141153,55516.55322601251
588123.0,30,98085.08257388836,55301.71459101823
593064.0,30,97951.97503745664,55083.01308735769
598046.0,30,97818.24430978516,54868.12300963279
603070.0,30,97670.63543484376,54664.37539873999
608137.0,30,97526.96725766936,54461.53498160495
613246.0,30,97393.60433460792,54250.44951391363
618398.0,30,97261.8847953678,54049.922696106994
623594.0,30,97118.47628991582,53844.951872609774
628833.0,30,96975.78711016332,53655.69624869273
634116.0,30,96838.46039591232,53446.67668137097
639443.0,30,96699.91002699402,53250.27154177314
644815.0,30,96563.99435930006,53057.31899912729
650233.0,30,96433.38795418432,52862.25904583744
655695.0,30,96294.07452568022,52676.00450267312
661204.0,30,96162.63829692168,52482.27440037608
666759.0,30,96024.04421417038,52298.364336541585
672361.0,30,95882.32155336691,52119.23873590326
678009.0,30,95750.78491699455,51939.10979576139
683706.0,30,95613.35942435321,51759.6471300269
689450.0,30,95483.7888764981,51581.596530320974
695242.0,30,95349.24942936774,51401.04711810413
701083.0,30,95219.6321280405,51220.980325693476
706973.0,30,95081.94220610952,51053.44747168865
712912.0,30,94956.19886421748,50875.812302157006
718902.0,30,94849.90022895415,50644.91741104102
