probe,f,T,eps_real,eps_imag
L95,739601.0,90,48993.519828792225,28653.756730983612
L95,834221.0,90,48005.67777492828,26513.190096129598
L95,940947.0,90,47071.172124913355,24593.922126019974
L95,1061330.0,90,46204.33802052135,22821.442864787357
L95,1197110.0,90,45384.7769858023,21242.102751197304
L95,1350260.0,90,44617.124235204756,19820.93330749257
L95,1523000.0,90,43903.58327526453,18545.346129381796
L95,1717840.0,90,43231.090438548854,17395.41012232791
L95,1937620.0,90,42587.32545899775,16138.548189901638
L95,107760.0,120,73088.99616229997,184526.4027262925
L95,121546.0,120,72057.86033230792,165599.8363990939
L95,137096.0,120,70928.30501977511,148868.2342059291
L95,154635.0,120,69735.77170887377,134028.01069971942
L95,174418.0,120,68469.65048072848,120880.36424389457
L95,196733.0,120,67169.22588513061,109192.13554384412
L95,221901.0,120,65812.30811036857,98817.8529694097
L95,250290.0,120,64431.9369065964,89574.95127895607
L95,282311.0,120,63038.34095508207,81326.88966334022
L95,318428.0,120,61640.931143179245,73960.31081836524
L95,359166.0,120,60254.26075797562,67363.65428572652
L95,405115.0,120,58878.89525341053,61443.25556889749
L95,456944.0,120,57538.25901846406,56125.181962183924
L95,515402.0,120,56219.500197492634,51345.15541839631
L95,581340.0,120,54939.07489639714,47019.605051656705
L95,655713.0,120,53709.08166965059,43120.05451684679
L95,739601.0,120,52531.510132738644,39596.47557692175
L95,834221.0,120,51406.25502884578,36425.60423167377
L95,940947.0,120,50310.10362350805,33559.41994231204
L95,1061330.0,120,49332.512020151844,31001.18224073618
L95,1197110.0,120,48380.43606858635,28702.920516277667
L95,1350260.0,120,47503.38042309037,26637.20526191461
L95,1523000.0,120,46670.3180510662,24789.024309079057
L95,1717840.0,120,45907.44814337141,23150.609353128024
L95,1937620.0,120,45191.3995504709,21599.556809361293
XF7,107760.0,30,57106.93198580018,47245.111527527595
XF7,121546.0,30,55623.65058026706,43618.65085378849
XF7,137096.0,30,54191.09720213072,40329.14040623944
XF7,154635.0,30,52804.0123683316,37332.961433752695
XF7,174418.0,30,51469.06973872253,34610.13269673021
XF7,196733.0,30,50183.77971359903,32116.50104566087
XF7,221901.0,30,48963.43263992211,29840.663453600257
XF7,250290.0,30,47790.35151040712,27760.45628178564
XF7,282311.0,30,46668.219263357845,25854.947024294186
XF7,318428.0,30,45597.953443460974,24105.23193387185
XF7,359166.0,30,44578.48067686981,22498.747116473125
XF7,405115.0,30,43608.11195608078,21024.416887371917
XF7,456944.0,30,42689.32449268529,19667.68796985856
XF7,515402.0,30,41820.584641120826,18413.136404848225
XF7,581340.0,30,40995.26043159094,17250.834888793375
XF7,655713.0,30,40221.86034389423,16178.377708936821
XF7,739601.0,30,39503.432393359086,15191.128755718011
XF7,834221.0,30,38839.25420045063,14293.208084439757
XF7,940947.0,30,38229.98522225839,13455.15611783298
XF7,1061330.0,30,37703.185643847,12727.735137764446
XF7,1197110.0,30,37237.27748720079,12068.83160319494
XF7,1350260.0,30,36847.7233768076,11488.836529471333
XF7,1523000.0,30,36545.16433127021,10986.99969541638
XF7,1717840.0,30,36342.7867923156,10574.463287090164
XF7,1937620.0,30,36256.7046919042,10145.95217088282
XF7,107760.0,60,60974.53608314726,70221.76917100295
XF7,121546.0,60,59485.47929228494,64175.01603209832
XF7,137096.0,60,58023.489691201394,58747.90164938112
XF7,154635.0,60,56594.821616453126,53856.775887515025
XF7,174418.0,60,55182.53078191015,49451.60539277883
XF7,196733.0,60,53826.2147983762,45464.07883814011
XF7,221901.0,60,52495.73612996093,41868.27792856706
XF7,250290.0,60,51214.94928169711,38607.35232459747
XF7,282311.0,60,49986.04192125672,35649.00188141953
XF7,318428.0,60,48802.8274600512,32960.25291794985
XF7,359166.0,60,47669.87073595349,30512.23797964587
XF7,405115.0,60,46588.19726678777,28284.46543500068
XF7,456944.0,60,45557.463070815764,26254.880322654113
XF7,515402.0,60,44572.41165303459,24392.64336331304
XF7,581340.0,60,43643.79259198515,22680.592450719705
XF7,655713.0,60,42764.19401128397,21117.20454786
XF7,739601.0,60,41947.40166800744,19687.59155513566
XF7,834221.0,60,41192.28878883037,18386.322303607278
XF7,940947.0,60,40494.323712080004,17225.336192481947
XF7,1061330.0,60,39896.28233207789,16154.057100413014
XF7,1197110.0,60,39371.39764445591,15213.732157535536
XF7,1350260.0,60,38930.79440744139,14388.45701099874
XF7,1523000.0,60,38582.35374961997,13684.039422043468
XF7,1717840.0,60,38337.29875362656,13082.082115385363
XF7,1937620.0,60,38426.485603207926,12537.366735189182
XF7,107760.0,90,63322.261762123024,101220.31071884751
XF7,121546.0,90,62060.471700193186,91647.75616129205
XF7,137096.0,90,60776.5502274902,83121.63572652962
XF7,154635.0,90,59483.791810341,75510.10388884725
XF7,174418.0,90,58196.42866297327,68707.59861213912
XF7,196733.0,90,56903.84419810145,62630.05575167691
XF7,221901.0,90,55617.505433723025,57180.5158531897
XF7,250290.0,90,54364.518096613254,52288.34149023786
XF7,282311.0,90,53131.93250607461,47899.84103837525
XF7,318428.0,90,51935.392248531374,43937.70283072008
XF7,359166.0,90,50771.69466190566,40371.37231982899
XF7,405115.0,90,49641.74110689547,37153.37142555734
XF7,456944.0,90,48559.22767141069,34240.06580225103
XF7,515402.0,90,47518.93684240756,31609.9383941468
XF7,581340.0,90,46528.82130694828,29202.359018785275
XF7,655713.0,90,45589.127918122176,27025.13405246821
XF7,739601.0,90,44707.75134188915,25059.76271224581
XF7,834221.0,90,43891.027490985514,23278.924603798034
XF7,940947.0,90,43133.679837964875,21702.2274957432
XF7,1061330.0,90,42481.04074897968,20264.95027921364
XF7,1197110.0,90,41903.93824415358,19014.829504925456
XF7,1350260.0,90,41423.62840579484,17927.7523770882
