probe,f,T,eps_real,eps_imag
SY4,149699.0,112,119414.42977145183,113498.04591780783
SY4,150999.0,112,119175.09294517992,112871.37699380767
SY4,152310.0,112,118940.12154981281,112228.60482449048
SY4,153633.0,112,118704.99129854115,111591.93992283088
SY4,154966.0,112,118472.1762611659,110983.81723386572
SY4,156312.0,112,118242.13128163322,110371.4249396802
SY4,157669.0,112,118012.0377998547,109749.94589053538
SY4,159038.0,112,117773.16360676097,109128.655789957
SY4,160419.0,112,117543.15541274681,108527.25217479325
SY4,161812.0,112,117315.0249140242,107943.22212334926
SY4,163217.0,112,117076.93970891843,107354.95160236607
SY4,164634.0,112,116842.31305320344,106758.27759233506
SY4,166064.0,112,116604.9097683627,106172.63667076512
SY4,167506.0,112,116380.94875487365,105594.44230370638
SY4,168960.0,112,116140.40496863595,105018.25591114111
SY4,170427.0,112,115907.48418102997,104445.64856596643
SY4,171907.0,112,115681.83790211222,103867.92417999958
SY4,173400.0,112,115438.51581039696,103315.864944116
SY4,174906.0,112,115217.49673895897,102755.73079600827
SY4,176424.0,112,114976.53331177711,102199.78473683538
SY4,177956.0,112,114743.85188133799,101655.39216204862
SY4,179501.0,112,114513.29655089442,101095.6654433666
SY4,181060.0,112,114292.41222502469,100563.60001771875
SY4,182632.0,112,114064.33016222979,100032.08500949955
SY4,184218.0,112,113820.05682066952,99489.03758953001
SY4,185817.0,112,113596.38124481328,98971.8633541639
SY4,187431.0,112,113371.40188307552,98428.65091514675
SY4,189058.0,112,113130.85880854947,97926.88718090978
SY4,190700.0,112,112903.66473969207,97397.04183609466
SY4,192356.0,112,112679.504227264,96875.19143460704
SY4,194026.0,112,112444.48141875649,96372.49166416173
SY4,195711.0,112,112214.10636738392,95875.132655491
SY4,197410.0,112,111993.67614990065,95367.69212434904
SY4,199124.0,112,111765.04233261735,94865.8419043291
SY4,200853.0,112,111535.56118653163,94369.36865752004
SY4,202597.0,112,111288.99292350831,93887.78663313521
SY4,204356.0,112,111071.04118505235,93406.65671610534
SY4,206131.0,112,110839.92317352573,92910.50734487442
SY4,207921.0,112,110614.45169039904,92424.74577290498
SY4,209726.0,112,110395.80833813708,91942.7449171415
SY4,211547.0,112,110160.20110118687,91489.89415952338
SY4,213384.0,112,109938.04508845875,91018.1690873221
SY4,215237.0,112,109702.21536921596,90532.22568915
SY4,217106.0,112,109486.6695861758,90081.63267039832
SY4,218991.0,112,109256.10485277457,89628.11343559787
SY4,220892.0,112,109033.03220044565,89166.26062282517
SY4,222810.0,112,108805.81145490469,88708.55316414607
SY4,224745.0,112,108580.03256593784,88265.77512912039
SY4,226696.0,112,108360.88307495696,87821.58628181605
SY4,228665.0,112,108129.02000002925,87374.7639047877
SY4,230650.0,112,107905.0621628177,86936.33489869624
SY4,232653.0,112,107687.00024629246,86500.59764938906
SY4,234673.0,112,107460.6026613128,86066.92913496049
SY4,236711.0,112,107228.95622206856,85627.33188387164
SY4,238766.0,112,107016.35200733771,85212.81804561745
SY4,240839.0,112,106798.14423208879,84794.7629133074
SY4,242930.0,112,106572.13590273773,84360.27227469526
SY4,245040.0,112,106349.270490767,83938.3696618476
SY4,247167.0,112,106128.79353391685,83533.72271603315
SY4,249314.0,112,105905.08545161299,83103.49054850028
SY4,251478.0,112,105688.37682036251,82712.5162228023
SY4,253662.0,112,105461.8715567112,82296.88493141255
SY4,255864.0,112,105240.92807644536,81905.99974062141
SY4,258086.0,112,105024.33525929692,81501.04903936567
SY4,260327.0,112,104815.86679475501,81101.82568378931
SY4,262588.0,112,104582.91575515192,80712.25986832226
SY4,264868.0,112,104365.73046912462,80321.37271483516
SY4,267167.0,112,104137.18968733904,79929.22474427747
SY4,269487.0,112,103924.23616263045,79541.47239665403
SY4,271827.0,112,103701.04810491335,79159.03740852505
SY4,274187.0,112,103506.72219722824,78768.23102236023
SY4,276568.0,112,103276.77088253474,78391.90398598347
SY4,278970.0,112,103052.88004003394,78020.02361469952
SY4,281392.0,112,102832.9017457422,77642.20948118536
SY4,283835.0,112,102615.77654084821,77270.6698000964
SY4,286300.0,112,102398.94859360084,76907.3424938293
SY4,288786.0,112,102183.2711873059,76546.65498869012
SY4,291293.0,112,101964.89160757471,76174.06472272314
SY4,293823.0,112,101754.36511671025,75819.95300514348
SY4,296374.0,112,101543.38529555353,75453.75262389453
SY4,298947.0,112,101325.14091452773,75096.59827213484
SY4,301543.0,112,101113.29922419475,74745.9202739378
SY4,304161.0,112,100900.94488461486,74390.8641872601
SY4,306802.0,112,100680.65006418039,74048.23043521635
SY4,309466.0,112,100465.70048333913,73700.09470994512
SY4,312153.0,112,100267.896981999,73362.9725977133
