f,T,eps_real,eps_imag
418820.0,30,43332.84538444522,17919.287813521598
422457.0,30,43300.95925389018,17821.732983755708
426125.0,30,43268.82595019028,17725.28673146139
429825.0,30,43235.25891356226,17631.395789517832
433557.0,30,43204.39675145287,17533.20997236526
437322.0,30,43159.65879565363,17441.577261892966
441119.0,30,43131.48679754315,17343.293766048046
444949.0,30,43100.806640604016,17247.64474091117
448813.0,30,43063.83849725986,17155.2944774687
452710.0,30,43026.68668591762,17066.142156623693
456641.0,30,42993.66828723881,16975.19545923868
460606.0,30,42959.71543961843,16882.279443532632
464605.0,30,42923.67075552003,16791.621409647752
468639.0,30,42894.30321627789,16703.35326240656
472708.0,30,42852.05484024445,16612.957082279685
476813.0,30,42820.55754021205,16526.169179382297
480953.0,30,42784.91596841731,16440.98529276618
485129.0,30,42758.289578604745,16354.402000427563
489341.0,30,42733.590066313955,16262.760885385978
493590.0,30,42684.4708550914,16159.007027436919
497876.0,30,42648.245603616524,16095.952509660177
502199.0,30,42617.91994467332,16014.77854987302
506560.0,30,42585.53571795063,15932.330789610705
510958.0,30,42550.7697768815,15851.123875426161
515395.0,30,42511.58779698998,15771.584842601764
519870.0,30,42481.80369286347,15687.27626814768
524384.0,30,42450.910744724475,15608.968505666298
528937.0,30,42414.14528725221,15531.27873360954
533530.0,30,42378.0219686857,15451.483022580052
538163.0,30,42342.841227002886,15369.282750454513
542836.0,30,42314.00702189434,15297.329173545111
547549.0,30,42278.15408477828,15216.571122488976
552303.0,30,42251.564536835314,15141.396709995617
557099.0,30,42214.91977176566,15068.928319293627
561936.0,30,42178.84595376336,14985.707991972522
566816.0,30,42146.34701944831,14912.056785610128
571737.0,30,42112.46264457942,14841.623624693113
576702.0,30,42079.36868499307,14771.530259744213
581709.0,30,42050.06153682865,14693.761738586878
586760.0,30,42009.66493779302,14623.311910643477
591855.0,30,41985.60639023465,14546.944734198147
596994.0,30,41948.345117622404,14482.884320781586
602178.0,30,41920.7163384209,14416.785045076238
607406.0,30,41884.36624741754,14342.592302546047
612680.0,30,41854.85141648258,14272.686770930835
618000.0,30,41820.076111916445,14205.03897629291
623366.0,30,41793.194998660176,14144.102285376028
628779.0,30,41756.53086850574,14073.0737362688
634239.0,30,41724.27253937773,14002.7852743472
639746.0,30,41693.77380862508,13937.596188164287
645301.0,30,41653.28547696055,13867.58961988332
650904.0,30,41626.31867629336,13804.80253934367
