f,p_v,T,b
273367.5672696353,7207.724281523642,25.0,0.025
290974.8290349017,7801.9261451476605,25.0,0.025
309716.1524226465,8557.353040762824,25.0,0.025
334269.2181383907,9385.924668076545,25.0,0.025
355799.0787674987,10294.723316329922,25.0,0.025
376098.15662941744,11143.416127143673,25.0,0.025
403108.250228892,12384.825968374376,25.0,0.025
432058.1171119979,13583.995309376389,25.0,0.025
463087.0652147842,15097.292961360783,25.0,0.025
496344.4070966331,17002.179117879696,25.0,0.025
521035.6866126414,18403.83186192416,25.0,0.025
554594.9409706586,20454.073702404003,25.0,0.025
590315.7047645993,22732.71860785375,25.0,0.025
632710.1758830599,25600.99711890659,25.0,0.025
682868.9241626053,29214.35688069312,25.0,0.025
726851.6541520685,32043.05719330775,25.0,0.025
768320.0536004514,36086.05855893628,25.0,0.025
800966.6945806034,39580.11613971953,25.0,0.025
852555.953678156,43989.45930094428,25.0,0.025
888781.8571994696,48890.01646075369,25.0,0.025
932995.4333999918,54336.51032581477,25.0,0.025
965916.88741837,58815.99017789361,25.0,0.025
1000000.0,63664.756530427934,25.0,0.025
100695.9603526637,1517.7235065617908,100.0,0.025
107181.66072430112,1600.031159662417,100.0,0.025
114085.09691337663,1709.220783886421,100.0,0.025
122278.30151068524,1825.861746771039,100.0,0.025
130154.09337734545,1950.4625439561241,100.0,0.025
140472.19265266534,2083.5663719356353,100.0,0.025
149519.83020338052,2225.753496119781,100.0,0.025
160257.83712413843,2409.243710743039,100.0,0.025
170579.8431922429,2573.655768502952,100.0,0.025
180311.7782231818,2749.28766451182,100.0,0.025
191925.4334575819,2975.937823436339,100.0,0.025
208582.13497506487,3307.4661859019247,100.0,0.025
222016.64839136123,3580.132355524176,100.0,0.025
237961.13083029285,3978.969793554536,100.0,0.025
255050.6919022348,4364.236296078512,100.0,0.025
265888.0354431879,4662.061321744957,100.0,0.025
284983.2120552267,5113.468633982041,100.0,0.025
303338.6229164336,5683.124313409399,100.0,0.025
322876.2827440064,6316.241337049824,100.0,0.025
346064.1619299155,7019.889488203605,100.0,0.025
368353.720078807,7801.9261451476605,100.0,0.025
389369.0663537568,8671.084021568455,100.0,0.025
411583.3818666487,9637.068681541172,100.0,0.025
435065.07030756265,10710.666917968869,100.0,0.025
463087.0652147842,11903.867204703456,100.0,0.025
486123.9162480226,13229.993567392767,100.0,0.025
521035.6866126414,15097.292961360783,100.0,0.025
554594.9409706586,17002.179117879696,100.0,0.025
582183.9668766251,19147.412419981873,100.0,0.025
623994.444168982,22140.29923461904,100.0,0.025
650508.5543980871,24606.79470100469,100.0,0.025
692406.9936029648,27348.06512960897,100.0,0.025
731910.2534876487,31622.776601683796,100.0,0.025
773667.256555075,36565.65812830866,100.0,0.025
817806.5835438638,41726.58514729955,100.0,0.025
852555.953678156,48248.76912537391,100.0,0.025
882639.0394279197,55058.6664158432,100.0,0.025
920143.2015283832,62829.721927494,100.0,0.025
952611.154762678,70757.20057044858,100.0,0.025
979408.4697994398,79684.92106879485,100.0,0.025
1006959.603526637,87400.46866953411,100.0,0.025
24979.880787725564,340494.4926197734,80.0,0.3
26222.53651223389,363730.58116403635,80.0,0.3
27336.756726963533,378426.59613275493,80.0,0.3
28896.37558605444,409623.9310867831,80.0,0.3
30333.862291643363,431838.2436910489,80.0,0.3
31842.85858924292,461307.82949844503,80.0,0.3
33195.89156979996,486325.0112438708,80.0,0.3
35089.78626454006,512698.8996013736,80.0,0.3
37349.87533881421,554965.588742363,80.0,0.3
39480.76345202088,592837.6537494072,80.0,0.3
41733.22316646617,633294.191266086,80.0,0.3
43809.295070519256,676511.5713464704,80.0,0.3
46308.70652147842,713199.4657437081,80.0,0.3
49291.39216293322,751876.9810909976,80.0,0.3
26041.29939313914,15097.292961360783,80.0,0.1
27718.586789381054,16127.565237807265,80.0,0.1
29709.241650165357,17457.11516864857,80.0,0.1
31842.85858924292,18896.27265602645,80.0,0.1
33893.8171288204,20185.795611930112,80.0,0.1
36076.87533273155,21849.904407280257,80.0,0.1
38936.90663537568,23651.20165613508,80.0,0.1
41733.22316646617,25600.99711890659,80.0,0.1
45355.13939259252,27711.532928063763,80.0,0.1
48612.39162480226,30394.721271958115,80.0,0.1
53569.261916035306,33337.7111832179,80.0,0.1
59031.57047645993,37051.6317866264,80.0,0.1
63711.35878544747,39580.11613971953,80.0,0.1
68762.14211354381,43412.48826261027,80.0,0.1
73191.02534876487,46375.05136733347,80.0,0.1
77366.7256555075,49539.78625489431,80.0,0.1
82922.94140558687,53623.82612190915,80.0,0.1
89496.74265472477,58815.99017789361,80.0,0.1
95924.0950714878,63664.756530427934,80.0,0.1
102102.44559195808,68009.37869599674,80.0,0.1
108678.73591186375,72650.4873760868,80.0,0.1
115678.59683403028,78639.76406120145,80.0,0.1
122278.30151068524,84006.31347810062,80.0,0.1
131059.91426462065,90931.75985690123,80.0,0.1
138537.15510922775,98428.13722362265,80.0,0.1
150560.42894096643,109393.32570884626,80.0,0.1
163627.17095652188,119985.41013823406,80.0,0.1
175378.31922739148,129876.95863913759,80.0,0.1
189281.6154017244,144345.63976565545,80.0,0.1
207140.51908791123,162558.30952355085,80.0,0.1
222016.64839136123,178298.13028514571,80.0,0.1
241284.88698561813,198161.0745639527,80.0,0.1
260412.99393139136,220236.8101647552,80.0,0.1
279114.97163753875,241561.39164729338,80.0,0.1
299160.0619312756,268472.0522051346,80.0,0.1
320644.7226017888,294467.04436266655,80.0,0.1
343672.33870942576,322979.01961665065,80.0,0.1
370917.3159281173,358959.8471194936,80.0,0.1
403108.250228892,404251.25434555,80.0,0.1
429071.9464800932,449286.05155212764,80.0,0.1
459886.43793944834,499337.8596835593,80.0,0.1
492913.9216293332,562341.325190349,80.0,0.1
524661.8884146955,624987.8284939065,80.0,0.1
558454.7018776941,694613.3393865536,80.0,0.1
590315.7047645993,771995.3401595624,80.0,0.1
628337.1981032236,880955.8187480778,80.0,0.1
668807.6080876868,992109.5565693474,80.0,0.1
721828.0173369832,1177879.6467619443,80.0,0.1
763009.8078508724,1309098.957661935,80.0,0.1
806541.1052129252,1493866.975713816,80.0,0.1
852555.953678156,1727369.7945996714,80.0,0.1
901196.0450052712,1997370.8876384723,80.0,0.1
946027.1806598612,2279282.547611539,80.0,0.1
993088.4977885284,2600983.604997292,80.0,0.1
24979.880787725564,1478.1713164339328,80.0,0.05
26960.186463599806,1621.2962766023345,80.0,0.05
28696.65822228791,1754.955283442166,80.0,0.05
30544.973946624865,1899.6330845438624,80.0,0.05
32287.628274400577,2056.2380648330354,80.0,0.05
34847.26312917256,2255.3347377653513,80.0,0.05
37091.73159281181,2441.2636179406722,80.0,0.05
39480.76345202088,2642.5203995154543,80.0,0.05
42610.641477311554,2898.3842650363085,80.0,0.05
45670.79318066032,3179.0223263178777,80.0,0.05
49291.39216293322,3486.833362001061,80.0,0.05
53569.261916035306,3824.4484141279113,80.0,0.05
57816.020110207406,4250.5033908430705,80.0,0.05
64154.76458273763,4786.806494199149,80.0,0.05
68762.14211354381,5181.4288782645135,80.0,0.05
73700.40586690031,5683.124313409399,80.0,0.05
79543.08114996928,6233.396756086142,80.0,0.05
87048.04787452368,6836.949708649839,80.0,0.05
94602.71806598612,7498.942093324558,80.0,0.05
102813.03813237812,8334.346641378397,80.0,0.05
111735.91019485102,9021.426794970053,80.0,0.05
119760.40417225476,9765.149557487504,80.0,0.05
129254.53307313556,10570.18452261518,80.0,0.05
141449.82342004555,11593.64995043968,80.0,0.05
152663.4032825947,12716.213126246797,80.0,0.05
170579.8431922429,14132.837251021016,80.0,0.05
186674.21656236448,15707.277534660183,80.0,0.05
202875.1788333528,17457.11516864857,80.0,0.05
217444.9858709829,19147.412419981873,80.0,0.05
234683.1601989516,21001.373871858257,80.0,0.05
253287.9084811152,23340.98965093559,80.0,0.05
273367.5672696353,25600.99711890659,80.0,0.05
295039.0616079909,28453.024666483765,80.0,0.05
325123.373660059,32900.44975416806,80.0,0.05
343672.33870942576,35612.74947519211,80.0,0.05
373498.7533881421,41179.294238496484,80.0,0.05
400322.1666659726,46375.05136733347,80.0,0.05
429071.9464800932,51541.37060894864,80.0,0.05
459886.43793944834,58044.55257754889,80.0,0.05
496344.4070966331,68009.37869599674,80.0,0.05
539420.8274018549,78639.76406120145,80.0,0.05
574164.2455935722,88562.05928959012,80.0,0.05
611145.4437268946,99736.29040276459,80.0,0.05
646012.5630857821,113813.2068938437,80.0,0.05
687621.4211354395,128173.47683071088,80.0,0.05
726851.6541520685,146264.0567232549,80.0,0.05
763009.8078508724,166907.96581416935,80.0,0.05
800966.6945806034,192996.9557615435,80.0,0.05
846663.5113189043,220236.8101647552,80.0,0.05
888781.8571994696,251321.3348892176,80.0,0.05
926547.0333987528,290604.7791963969,80.0,0.05
965916.88741837,331621.1353505733,80.0,0.05
993088.4977885284,368564.7203596188,80.0,0.05
25153.73085415084,383456.0518226277,25.0,0.3
26960.186463599806,415068.0130619035,25.0,0.3
28696.65822228791,449286.05155212764,25.0,0.3
31404.215711268385,499337.8596835593,25.0,0.3
33659.55993677928,547686.5933406294,25.0,0.3
36327.95608152727,585061.9237885718,25.0,0.3
38400.54157449074,624987.8284939065,25.0,0.3
41158.33818666478,676511.5713464704,25.0,0.3
43809.295070519256,722678.1999226889,25.0,0.3
46630.99675869939,761869.7564383886,25.0,0.3
48612.39162480226,792652.0165084681,25.0,0.3
50677.97782045657,835638.3225926942,25.0,0.3
24979.880787725564,131603.08046906782,100.0,0.2
26773.85107523489,142452.38499557946,100.0,0.2
28896.37558605444,154196.1017827268,100.0,0.2
30757.554855024828,166907.96581416935,100.0,0.2
33195.89156979996,180667.7907556844,100.0,0.2
35827.52992908632,195561.97007925416,100.0,0.2
38135.13614647686,211684.01949961766,100.0,0.2
41158.33818666478,235266.25155841955,100.0,0.2
44730.36166359721,258046.06909980037,100.0,0.2
47611.388094538685,283031.55823148054,100.0,0.2
50677.97782045657,302346.2505111923,100.0,0.2
54317.49824945833,327271.55265878025,100.0,0.2
57816.020110207406,354251.6865964042,100.0,0.2
62399.4444168982,388552.3511878523,100.0,0.2
66880.76080876868,426174.20135422,100.0,0.2
72182.80173369833,473651.2803399954,100.0,0.2
77366.7256555075,512698.8996013736,100.0,0.2
82922.94140558687,569815.0884155877,100.0,0.2
89496.74265472477,624987.8284939065,100.0,0.2
97940.84697994398,703845.0557821257,100.0,0.2
108678.73591186375,803186.7099873563,100.0,0.2
118110.67639400603,904528.0066602522,100.0,0.2
131059.91426462065,1059813.2815978692,100.0,0.2
142434.25810996216,1177879.6467619443,100.0,0.2
154795.75121934788,1326497.457842693,100.0,0.2
167067.34319954296,1513721.1240154887,100.0,0.2
179065.55296923756,1704713.404641371,100.0,0.2
191925.4334575819,1945318.987037229,100.0,0.2
205708.86693214971,2279282.547611539,100.0,0.2
220482.1798350204,2706072.635097825,100.0,0.2
231450.3443852167,3170638.939345119,100.0,0.2
242964.13413600792,3666234.02380876,100.0,0.2
256825.7435970688,4295636.490267305,100.0,0.2
267738.5107523489,4967077.284992055,100.0,0.2
279114.97163753875,5668137.369172122,100.0,0.2
288963.7558605444,6383309.051633148,100.0,0.2
299160.0619312756,7188716.820851,100.0,0.2
506779.7782045657,2642.5203995154543,25.0,0.0125
531990.1784383563,2898.3842650363085,25.0,0.0125
558454.7018776941,3179.0223263178777,25.0,0.0125
586235.7364656524,3533.174909004809,25.0,0.0125
619681.7051881608,3926.78114723404,25.0,0.0125
659594.6257418746,4481.012411151443,25.0,0.0125
692406.9936029648,4914.889537388337,25.0,0.0125
721828.0173369832,5462.422912312177,25.0,0.0125
757736.2638765365,6070.953140649488,25.0,0.0125
784473.5646995024,6658.777377785888,25.0,0.0125
817806.5835438638,7303.518103282477,25.0,0.0125
852555.953678156,8225.032348547149,25.0,0.0125
888781.8571994696,9021.426794970053,25.0,0.0125
926547.0333987528,10026.440686351036,25.0,0.0125
959240.950714878,10853.016386064955,25.0,0.0125
993088.4977885284,11747.734650895503,25.0,0.0125
101396.76431345238,1021.349338436819,80.0,0.025
109435.09682558644,1135.1307054434312,80.0,0.025
117294.35419291024,1245.0405211706538,80.0,0.025
127474.02143283904,1383.7417540849838,80.0,0.025
138537.15510922775,1537.8947186376274,80.0,0.025
147460.1593214192,1686.8024385352235,80.0,0.025
160257.83712413843,1874.7172685583864,80.0,0.025
171767.01127049714,2083.5663719356353,80.0,0.025
186674.21656236448,2346.458318740037,80.0,0.025
201473.00658619293,2573.655768502952,80.0,0.025
214449.62996924185,2860.368708458348,80.0,0.025
231450.3443852167,3137.325887178803,80.0,0.025
248072.32286418905,3533.174909004809,80.0,0.025
265888.0354431879,3875.2770134748553,80.0,0.025
288963.7558605444,4422.238913483239,80.0,0.025
314042.1571126838,4980.210578249436,80.0,0.025
341297.0465804133,5758.655531897817,80.0,0.025
370917.3159281173,6571.440052918758,80.0,0.025
397555.33912575885,7498.942093324558,80.0,0.025
423161.3793450881,8334.346641378397,80.0,0.025
450416.6724637901,9510.667729766676,80.0,0.025
482764.0697258252,10853.016386064955,80.0,0.025
513858.2972943202,12384.825968374376,80.0,0.025
539420.8274018549,13947.46925803111,80.0,0.025
574164.2455935722,16127.565237807265,80.0,0.025
611145.4437268946,18403.83186192416,80.0,0.025
641547.6458273763,21001.373871858257,80.0,0.025
678149.2740831088,24284.04902250971,80.0,0.025
721828.0173369832,28453.024666483765,80.0,0.025
768320.0536004514,33337.7111832179,80.0,0.025
806541.1052129252,38548.650084095716,80.0,0.025
840811.7945880515,43989.45930094428,80.0,0.025
876538.6777549825,48248.76912537391,80.0,0.025
907468.012178283,55058.6664158432,80.0,0.025
946027.1806598612,61192.36631126172,80.0,0.025
1000000.0,70757.20057044858,80.0,0.025
24979.880787725564,2975.937823436339,25.0,0.05
26405.0349698218,3179.0223263178777,25.0,0.05
28105.750117848456,3533.174909004809,25.0,0.05
30124.209735332195,3875.2770134748553,25.0,0.05
32287.628274400577,4250.5033908430705,25.0,0.05
35089.78626454006,4662.061321744957,25.0,0.05
37609.81566294175,5113.468633982041,25.0,0.05
40591.37238288015,5608.583771466009,25.0,0.05
44114.19039499152,6151.638774609209,25.0,0.05
47282.32188043205,6658.777377785888,25.0,0.05
51030.67645361876,7303.518103282477,25.0,0.05
55845.47018776941,8117.151835126739,25.0,0.05
60692.15106410441,8903.100676216505,25.0,0.05
65959.46257418745,9765.149557487504,25.0,0.05
71683.91013988566,10710.666917968869,25.0,0.05
78447.35646995023,11747.734650895503,25.0,0.05
84666.35113189043,12716.213126246797,25.0,0.05
92654.7033398753,14132.837251021016,25.0,0.05
100695.9603526637,15501.258993568934,25.0,0.05
110196.72171139164,17002.179117879696,25.0,0.05
120593.88910348344,18896.27265602645,25.0,0.05
132890.51237631016,21001.373871858257,25.0,0.05
146440.98810416495,23340.98965093559,25.0,0.05
159150.2147284493,25265.21136193629,25.0,0.05
174166.1915862072,28079.83137321653,25.0,0.05
191925.4334575819,31208.00846084224,25.0,0.05
215942.1143702622,35145.64837031016,25.0,0.05
237961.13083029285,38548.650084095716,25.0,0.05
262225.3651223389,43412.48826261027,25.0,0.05
295039.0616079909,48890.01646075369,25.0,0.05
327386.1034379757,56531.89946945122,25.0,0.05
368353.720078807,65368.26716328884,25.0,0.05
405913.7238288015,74594.43383048884,25.0,0.05
450416.6724637901,86254.11361174284,25.0,0.05
499798.7673826893,101061.82951227532,25.0,0.05
550761.8568096689,118411.66706949616,25.0,0.05
611145.4437268946,140583.9623827493,25.0,0.05
687621.4211354395,171374.0080951561,25.0,0.05
763009.8078508724,208907.54644288268,25.0,0.05
817806.5835438638,244771.84865028868,25.0,0.05
901196.0450052712,298380.6407295305,25.0,0.05
965916.88741837,349605.27887293586,25.0,0.05
1006959.603526637,383456.0518226277,25.0,0.05
506779.7782045657,2225.753496119781,100.0,0.0125
528313.3271435983,2441.2636179406722,100.0,0.0125
550761.8568096689,2785.8269052223886,100.0,0.0125
582183.9668766251,3137.325887178803,100.0,0.0125
615398.7737123444,3627.713887134263,100.0,0.0125
650508.5543980871,4250.5033908430705,100.0,0.0125
673462.2438755755,4914.889537388337,100.0,0.0125
697225.871757512,5608.583771466009,100.0,0.0125
721828.0173369832,6400.186958884741,100.0,0.0125
747298.2683491874,7113.186903051098,100.0,0.0125
773667.256555075,8117.151835126739,100.0,0.0125
800966.6945806034,9141.325519817648,100.0,0.0125
829229.4140558688,10431.54471125328,100.0,0.0125
858489.4051000298,11593.64995043968,100.0,0.0125
888781.8571994696,13056.467380732704,100.0,0.0125
920143.2015283832,14703.85436793976,100.0,0.0125
952611.154762678,16779.17649189896,100.0,0.0125
972639.2859944848,18403.83186192416,100.0,0.0125
1006959.603526637,20185.795611930112,100.0,0.0125
24979.880787725564,17689.127897433948,100.0,0.1
26773.85107523489,18896.27265602645,100.0,0.1
28696.65822228791,20454.073702404003,100.0,0.1
30971.61524226465,22140.29923461904,100.0,0.1
32966.45809180352,24284.04902250971,100.0,0.1
35579.90787674987,25941.245616083917,100.0,0.1
38400.54157449074,28453.024666483765,100.0,0.1
41444.783902259296,31208.00846084224,100.0,0.1
44421.20767003924,33337.7111832179,100.0,0.1
47611.388094538685,36086.05855893628,100.0,0.1
50677.97782045657,39060.97857655283,100.0,0.1
54695.52650183336,42281.149792683056,100.0,0.1
58218.39668766251,45766.790616567,100.0,0.1
62833.71981032223,50198.191775016174,100.0,0.1
66880.76080876868,53623.82612190915,100.0,0.1
72685.16541520687,58815.99017789361,100.0,0.1
78447.35646995023,64510.88911003125,100.0,0.1
84081.17945880516,70757.20057044858,100.0,0.1
90746.8012178283,76590.39545993051,100.0,0.1
97263.9285994485,84006.31347810062,100.0,0.1
105705.20810009836,92140.28288798852,100.0,0.1
115678.59683403028,102404.98561880637,100.0,0.1
123129.31000911044,110847.211059514,100.0,0.1
132890.51237631016,121580.0689436362,100.0,0.1
143425.54407501814,133352.1432163324,100.0,0.1
153725.8800424686,146264.0567232549,100.0,0.1
164765.95119256483,158322.00618019424,100.0,0.1
175378.31922739148,171374.0080951561,100.0,0.1
189281.6154017244,187967.41496878694,100.0,0.1
202875.1788333528,203463.37234903112,100.0,0.1
215942.1143702622,223163.85411283423,100.0,0.1
231450.3443852167,244771.84865028868,100.0,0.1
249798.80787725563,268472.0522051346,100.0,0.1
269601.86463599803,294467.04436266655,100.0,0.1
288963.7558605444,327271.55265878025,100.0,0.1
311871.6540493036,363730.58116403635,100.0,0.1
338938.17128820403,415068.0130619035,100.0,0.1
370917.3159281173,467438.8131860712,100.0,0.1
394807.6345202088,519512.893184655,100.0,0.1
420236.6985359352,577388.181237007,100.0,0.1
447303.61663597205,633294.191266086,100.0,0.1
486123.9162480226,713199.4657437081,100.0,0.1
513858.2972943202,792652.0165084681,100.0,0.1
550761.8568096689,880955.8187480778,100.0,0.1
582183.9668766251,979096.9283149552,100.0,0.1
615398.7737123444,1102633.5245385752,100.0,0.1
650508.5543980871,1225470.1926675576,100.0,0.1
678149.2740831088,1326497.457842693,100.0,0.1
24979.880787725564,415068.0130619035,100.0,0.3
26222.53651223389,437577.56363851554,100.0,0.3
27911.49716375388,473651.2803399954,100.0,0.3
29503.90616079903,505974.27917737665,100.0,0.3
30971.61524226465,533413.7668497486,100.0,0.3
32738.610343797565,569815.0884155877,100.0,0.3
34606.41619299155,608700.5157433862,100.0,0.3
36835.3720078807,650239.5696409367,100.0,0.3
38936.90663537568,694613.3393865536,100.0,0.3
41158.33818666478,732282.9106425272,100.0,0.3
43809.295070519256,792652.0165084681,100.0,0.3
45355.13939259252,824677.989860265,100.0,0.3
47942.744479029614,880955.8187480778,100.0,0.3
24635.777045610823,106542.51289712625,80.0,0.2
26222.53651223389,113813.2068938437,80.0,0.2
27911.49716375388,123195.92146503032,80.0,0.2
30124.209735332195,135124.4517757996,80.0,0.2
32064.472260178885,146264.0567232549,80.0,0.2
34367.23387094258,160426.17518668686,80.0,0.2
37091.73159281181,173651.64394030726,80.0,0.2
40032.21666659726,190465.58448009085,80.0,0.2
42610.641477311554,206167.48994065664,80.0,0.2
45988.64379394484,226129.79976071362,80.0,0.2
49291.39216293322,244771.84865028868,80.0,0.2
