f,T,b,mu_real,mu_imag,h_offset
50000,70,0.2,5311.255810615637,675.1234974938458,0
50000,70,0.3,5332.621942131447,910.4932589609124,0
50000,80,0.05,4456.398999262203,217.86172396212396,0
50000,80,0.1,4849.855344287082,371.5431530131568,0
50000,80,0.2,5301.02771265365,693.3325707919544,0
50000,80,0.3,5322.570294479358,907.3185237994608,0
50000,90,0.05,4490.439551253271,253.7454777384156,0
50000,90,0.1,4862.477448131317,414.00142218839954,0
50000,90,0.2,5289.47110301132,720.8309885386418,0
50000,90,0.3,5309.123395053752,923.8695781905542,0
50000,100,0.05,4523.684993381879,297.9288591546534,0
50000,100,0.1,4874.193235691943,462.363049800168,0
50000,100,0.2,5277.797673716026,748.0459456100592,0
50000,100,0.3,5295.724310374541,939.7835469676716,0
50000,110,0.05,4555.883773408685,350.76914799347605,0
50000,110,0.1,4884.658863555389,518.2803240800808,0
50000,110,0.2,5264.946779190083,782.1750122118397,0
50000,110,0.3,5282.364158799482,955.143409559178,0
50000,120,0.05,4590.317070644588,370.5517567929066,0
50000,120,0.1,4898.436076355469,539.7317610428584,0
50000,120,0.2,5254.320662425863,800.2750702440287,0
50000,120,0.3,5270.287295328581,963.1930767832288,0
100000,25,0.025,3925.7828014617744,172.9468295531822,0
100000,25,0.05,4258.20228137496,229.27463326292852,0
100000,25,0.1,4750.864935976977,489.78944673605815,0
100000,25,0.2,5258.117312611035,1181.2100876405923,0
100000,30,0.025,3950.8725979219935,158.09493442185703,0
100000,30,0.05,4277.068169500659,211.84276491457456,0
100000,30,0.1,4763.236045699353,445.7493566187414,0
100000,30,0.2,5277.608796420997,1071.3531776228483,0
100000,40,0.025,4000.1213317341007,149.72253285080762,0
100000,40,0.05,4313.326071433706,204.96554506351663,0
100000,40,0.1,4781.431628663408,422.3782965014079,0
100000,40,0.2,5286.100770117889,986.9027793849187,0
100000,50,0.025,4048.9053586133928,153.40200637895188,0
100000,50,0.05,4349.301293290418,203.8361030817188,0
100000,50,0.1,4798.635953148338,409.2417433256486,0
100000,50,0.2,5291.773662202366,911.0314607991628,0
100000,60,0.025,4097.476971267818,162.5071771530977,0
100000,60,0.05,4384.617340227907,216.4600057010452,0
100000,60,0.1,4814.321138171734,413.6471995529032,0
100000,60,0.2,5284.896237639749,904.9028107381184,0
100000,70,0.025,4145.354984320804,187.34343272506572,0
100000,70,0.05,4419.5092129064415,236.62367354583463,0
100000,70,0.1,4828.8022989842175,431.71615410379314,0
100000,70,0.2,5277.93695951677,899.2282658110538,0
100000,80,0.025,4192.765870616046,218.85912851222776,0
100000,80,0.05,4453.087924602518,277.42333563013153,0
100000,80,0.1,4840.670779099185,476.4951032657271,0
100000,80,0.2,5266.49994550727,919.5559732908546,0
100000,90,0.025,4239.966254825944,250.54069327279944,0
100000,90,0.05,4486.151877420178,320.7420515800636,0
100000,90,0.1,4852.038112189202,522.3124247259537,0
100000,90,0.2,5254.565674482269,942.1472476115875,0
100000,100,0.025,4286.330399736191,291.7803342471378,0
100000,100,0.05,4518.365676612504,369.94477544038097,0
100000,100,0.1,4861.413314824731,581.5495431435128,0
100000,100,0.2,5240.4410381488,975.9604229229168,0
100000,110,0.025,4331.851217113728,339.5419429894856,0
100000,110,0.05,4548.682442133641,434.2856118014465,0
100000,110,0.1,4868.685034199491,651.4696811062469,0
100000,110,0.2,5226.789193852582,1006.0502276022324,0
100000,120,0.025,4379.691111496319,354.63948770101587,0
100000,120,0.05,4583.114894021955,450.9737040089495,0
100000,120,0.1,4882.749209915628,666.8931856658068,0
100000,120,0.2,5214.119110313924,1030.1881940250437,0
